,borough,number_of_cyclist_injured,number_of_cyclist_killed,vehicle_type_code1,vehicle_type_code2,latitude,longitude
87,MANHATTAN,1,0,BUS,,40.7423751,-74.0087909
88,QUEENS,1,0,BICYCLE,,40.715805,-73.74631
89,QUEENS,1,0,BICYCLE,,40.71073,-73.87719
90,QUEENS,2,0,BICYCLE,,40.758274,-73.93336
91,QUEENS,1,0,BICYCLE,,40.74576,-73.92581
92,QUEENS,1,0,PASSENGER VEHICLE,,40.710275,-73.7777359
93,MANHATTAN,1,0,BICYCLE,,40.8212629,-73.9460792
94,BRONX,1,0,BICYCLE,,40.815083,-73.90012
95,MANHATTAN,1,0,BICYCLE,,,
96,BROOKLYN,1,0,BICYCLE,,40.6996857,-73.9239511
97,BRONX,1,0,BICYCLE,,40.866997,-73.902084
98,QUEENS,1,0,BICYCLE,,40.7163449,-73.7354844
99,QUEENS,1,0,BICYCLE,,40.76771,-73.93247
100,BRONX,1,0,UNKNOWN,,40.8198786,-73.857769
101,BRONX,1,0,BICYCLE,,40.8305215,-73.8758175
102,BROOKLYN,1,0,BICYCLE,,40.685215,-73.95928
103,BRONX,1,0,BICYCLE,,,
104,BRONX,1,0,SPORT UTILITY / STATION WAGON,,40.8082617,-73.9188059
105,STATEN ISLAND,1,0,BICYCLE,,40.6285435,-74.0764686
106,BRONX,1,0,BICYCLE,,40.866432,-73.86155
107,MANHATTAN,1,0,BICYCLE,,40.8545009,-73.9346258
108,MANHATTAN,1,0,BICYCLE,,40.8146335,-73.9441916
109,BROOKLYN,1,0,BICYCLE,,40.712593,-73.967735
110,BRONX,1,0,BICYCLE,,40.810726,-73.92465
111,STATEN ISLAND,1,0,BICYCLE,,40.62016,-74.076965
112,QUEENS,1,0,BICYCLE,,40.599243,-73.752495
113,MANHATTAN,1,0,BICYCLE,,,
114,BROOKLYN,1,0,UNKNOWN,,40.664083,-73.9481671
115,BROOKLYN,1,0,BICYCLE,,40.678837,-73.9958
116,BRONX,1,0,BICYCLE,,40.8433626,-73.8451738
117,BROOKLYN,1,0,BICYCLE,,40.7010884,-73.9632785
118,QUEENS,1,0,BICYCLE,,40.6563005,-73.8478533
119,MANHATTAN,1,0,BICYCLE,,40.84168,-73.9375
120,MANHATTAN,1,0,BICYCLE,,40.8553346,-73.9333128
121,MANHATTAN,1,0,BICYCLE,,40.7401843,-73.986363
122,QUEENS,1,0,BICYCLE,,40.73406,-73.82533
123,BRONX,1,0,BICYCLE,,40.8130432,-73.9081574
124,MANHATTAN,1,0,SPORT UTILITY / STATION WAGON,,40.7134676,-73.9985824
125,QUEENS,1,0,BICYCLE,,40.6943173,-73.7375192
126,QUEENS,1,0,BICYCLE,,40.697247,-73.84302
127,QUEENS,1,0,BICYCLE,,,
128,BRONX,1,0,BICYCLE,,40.880352,-73.88593
129,QUEENS,1,0,BICYCLE,,40.610508,-73.746994
130,MANHATTAN,1,0,BICYCLE,,40.80293,-73.96759
131,BRONX,1,0,BICYCLE,,40.8838512,-73.8343459
132,MANHATTAN,2,0,BICYCLE,,,
133,BROOKLYN,1,0,BICYCLE,,40.6183407,-74.0301743
134,BROOKLYN,1,0,BICYCLE,,40.704494,-73.92929
135,QUEENS,1,0,BICYCLE,,40.703823,-73.8088
136,QUEENS,1,0,SPORT UTILITY / STATION WAGON,,40.7659665,-73.7681315
137,MANHATTAN,1,0,BICYCLE,,40.77234,-73.95269
138,BRONX,1,0,BICYCLE,,,
139,STATEN ISLAND,1,0,SPORT UTILITY / STATION WAGON,,40.6258008,-74.0774958
140,MANHATTAN,1,0,BICYCLE,,40.7736551,-73.9778247
141,MANHATTAN,1,0,BICYCLE,,40.7916347,-73.9625604
